Customer_ID,Modelo,Probabilidad_Churn,Prediccion_Churn,Riesgo
51631,C,0.4263,0,Medio
102083,D,0.1342,0,Bajo
108157,I,0.0872,0,Bajo
95796,B,0.0877,0,Bajo
101437,I,0.0925,0,Bajo
106926,B,0.1036,0,Bajo
101211,B,0.3034,0,Medio
25620,I,0.0768,0,Bajo
102043,B,0.6272,1,Alto
107066,D,0.3155,0,Medio
102419,B,0.6343,1,Alto
45960,I,0.0434,0,Bajo
103339,D,0.432,0,Medio
105833,A,0.4035,0,Medio
106689,B,0.1965,0,Bajo
105316,A,0.2116,0,Bajo
101460,J,0.0498,0,Bajo
87158,C,0.1511,0,Bajo
101763,A,0.4648,0,Medio
107281,I,0.0569,0,Bajo
105719,J,0.2275,0,Bajo
82219,H,0.2292,0,Bajo
106601,B,0.2852,0,Bajo
105848,I,0.0437,0,Bajo
102881,D,0.117,0,Bajo
102874,A,0.5414,1,Alto
100058,B,0.1339,0,Bajo
107899,I,0.0585,0,Bajo
105819,D,0.3707,0,Medio
107228,C,0.0758,0,Bajo
103039,J,0.1326,0,Bajo
103264,C,0.4265,0,Medio
104454,I,0.0751,0,Bajo
105841,A,0.655,1,Alto
102423,B,0.168,0,Bajo
106489,B,0.216,0,Bajo
108291,D,0.0825,0,Bajo
100148,C,0.5627,1,Alto
101440,B,0.1093,0,Bajo
103195,I,0.0955,0,Bajo
103937,D,0.3747,0,Medio
107940,I,0.0992,0,Bajo
104096,H,0.1669,0,Bajo
65242,H,0.201,0,Bajo
37330,D,0.0805,0,Bajo
101367,H,0.1839,0,Bajo
101302,B,0.3668,0,Medio
107767,B,0.1218,0,Bajo
107122,H,0.1862,0,Bajo
104282,A,0.6714,1,Alto
101895,I,0.0762,0,Bajo
105364,D,0.3639,0,Medio
107160,E,0.259,0,Bajo
41501,I,0.0674,0,Bajo
103192,H,0.1851,0,Bajo
106905,B,0.6593,1,Alto
103184,B,0.2604,0,Bajo
105088,I,0.0399,0,Bajo
16247,A,0.4962,0,Medio
106016,I,0.0496,0,Bajo
105469,I,0.0535,0,Bajo
101418,I,0.0494,0,Bajo
107466,A,0.6587,1,Alto
100121,C,0.19,0,Bajo
73073,I,0.0379,0,Bajo
103030,I,0.0407,0,Bajo
106396,B,0.6598,1,Alto
100726,D,0.072,0,Bajo
105189,D,0.0853,0,Bajo
102849,A,0.5054,1,Alto
43396,H,0.2392,0,Bajo
106452,D,0.5062,1,Alto
101830,B,0.6019,1,Alto
106798,A,0.4905,0,Medio
102715,J,0.2746,0,Bajo
100323,I,0.0548,0,Bajo
96079,A,0.4146,0,Medio
108345,H,0.2682,0,Bajo
105734,I,0.0745,0,Bajo
106077,D,0.4834,0,Medio
107101,I,0.1042,0,Bajo
2793,D,0.2574,0,Bajo
101209,B,0.3594,0,Medio
91041,A,0.6216,1,Alto
102176,J,0.0549,0,Bajo
103083,I,0.0821,0,Bajo
100767,B,0.0697,0,Bajo
24091,A,0.6225,1,Alto
100874,A,0.6163,1,Alto
105433,C,0.3113,0,Medio
104665,B,0.3029,0,Medio
105526,B,0.1206,0,Bajo
106154,J,0.0524,0,Bajo
106349,C,0.3681,0,Medio
108479,B,0.3359,0,Medio
102588,I,0.0462,0,Bajo
103179,I,0.0467,0,Bajo
108136,I,0.0433,0,Bajo
101983,E,0.3557,0,Medio
103045,I,0.1244,0,Bajo
101927,I,0.0684,0,Bajo
102672,I,0.0778,0,Bajo
108184,C,0.3446,0,Medio
101997,B,0.1052,0,Bajo
100980,J,0.0427,0,Bajo
107871,I,0.119,0,Bajo
12052,I,0.0613,0,Bajo
105971,I,0.0501,0,Bajo
102193,A,0.1163,0,Bajo
105540,B,0.1533,0,Bajo
101642,H,0.3028,0,Medio
100967,B,0.4184,0,Medio
106279,D,0.047,0,Bajo
107071,A,0.4685,0,Medio
105383,D,0.0805,0,Bajo
103834,J,0.3393,0,Medio
70121,I,0.1237,0,Bajo
32054,I,0.0784,0,Bajo
102606,B,0.0558,0,Bajo
107512,C,0.4626,0,Medio
104496,D,0.2142,0,Bajo
102935,D,0.1026,0,Bajo
101215,B,0.0813,0,Bajo
28915,B,0.5023,1,Alto
101199,A,0.6294,1,Alto
103956,I,0.0857,0,Bajo
107408,I,0.0475,0,Bajo
103399,B,0.1935,0,Bajo
14375,I,0.0962,0,Bajo
100274,B,0.1619,0,Bajo
108019,B,0.4905,0,Medio
107470,H,0.3132,0,Medio
59270,B,0.1236,0,Bajo
106745,I,0.0741,0,Bajo
105182,H,0.1834,0,Bajo
100907,A,0.6929,1,Alto
45457,H,0.3027,0,Medio
92923,H,0.2172,0,Bajo
104240,I,0.0406,0,Bajo
101744,B,0.4584,0,Medio
100905,D,0.1171,0,Bajo
104902,B,0.0977,0,Bajo
16589,H,0.1724,0,Bajo
104940,A,0.5908,1,Alto
14897,B,0.2294,0,Bajo
89289,A,0.5587,1,Alto
106285,I,0.0606,0,Bajo
101589,A,0.5772,1,Alto
104074,I,0.0483,0,Bajo
30227,D,0.0733,0,Bajo
108306,A,0.5018,1,Alto
106363,D,0.1235,0,Bajo
107608,B,0.4458,0,Medio
102301,A,0.5103,1,Alto
103943,C,0.3847,0,Medio
107659,B,0.2981,0,Bajo
105853,B,0.5755,1,Alto
105251,I,0.0302,0,Bajo
107577,I,0.0629,0,Bajo
104972,B,0.3147,0,Medio
106162,C,0.4177,0,Medio
104494,C,0.1885,0,Bajo
102820,A,0.3781,0,Medio
104025,I,0.0341,0,Bajo
100756,A,0.5056,1,Alto
105019,D,0.0882,0,Bajo
105703,B,0.2902,0,Bajo
71683,I,0.0592,0,Bajo
108162,D,0.1888,0,Bajo
104340,D,0.4994,1,Alto
97288,I,0.1273,0,Bajo
100951,I,0.0522,0,Bajo
106825,E,0.1848,0,Bajo
106137,B,0.1208,0,Bajo
106619,B,0.2169,0,Bajo
102100,I,0.1276,0,Bajo
42332,I,0.0774,0,Bajo
102600,D,0.5767,1,Alto
107116,D,0.077,0,Bajo
105113,A,0.4189,0,Medio
106353,I,0.1082,0,Bajo
106212,C,0.5532,1,Alto
106291,I,0.044,0,Bajo
104943,I,0.0619,0,Bajo
100291,B,0.1113,0,Bajo
106728,C,0.2202,0,Bajo
104032,I,0.0872,0,Bajo
104878,C,0.1121,0,Bajo
99536,I,0.1018,0,Bajo
102871,B,0.3285,0,Medio
104327,J,0.1882,0,Bajo
101298,H,0.1482,0,Bajo
101856,A,0.1689,0,Bajo
102003,J,0.0403,0,Bajo
100987,J,0.2907,0,Bajo
105505,I,0.0362,0,Bajo
106669,I,0.0448,0,Bajo
100810,B,0.2552,0,Bajo
108006,I,0.0654,0,Bajo
107299,B,0.1058,0,Bajo
107194,I,0.1333,0,Bajo
104506,I,0.0398,0,Bajo
100724,D,0.3966,0,Medio
103607,J,0.0364,0,Bajo
100033,A,0.2681,0,Bajo
108328,B,0.1168,0,Bajo
101603,A,0.5217,1,Alto
104917,D,0.2777,0,Bajo
107192,D,0.5374,1,Alto
106280,D,0.0874,0,Bajo
106060,D,0.0541,0,Bajo
107696,I,0.0446,0,Bajo
104471,A,0.4262,0,Medio
105496,B,0.0703,0,Bajo
101232,I,0.1281,0,Bajo
100824,B,0.6888,1,Alto
104378,B,0.2852,0,Bajo
103307,B,0.0503,0,Bajo
108032,H,0.2623,0,Bajo
100353,A,0.5798,1,Alto
104021,I,0.0354,0,Bajo
102252,A,0.1741,0,Bajo
107301,H,0.1387,0,Bajo
44822,B,0.2668,0,Bajo
104274,I,0.0366,0,Bajo
105675,I,0.062,0,Bajo
108380,C,0.1384,0,Bajo
106708,J,0.2033,0,Bajo
103700,I,0.074,0,Bajo
107143,C,0.1573,0,Bajo
60613,H,0.2552,0,Bajo
107751,H,0.2662,0,Bajo
108050,B,0.1412,0,Bajo
103306,C,0.421,0,Medio
103758,B,0.477,0,Medio
103383,D,0.1385,0,Bajo
103050,B,0.4857,0,Medio
102835,B,0.6941,1,Alto
104616,C,0.2957,0,Bajo
105677,B,0.3889,0,Medio
105011,A,0.7419,1,Alto
103326,B,0.4652,0,Medio
101292,C,0.4097,0,Medio
103743,B,0.3692,0,Medio
105628,D,0.3395,0,Medio
105878,I,0.0437,0,Bajo
108423,A,0.3842,0,Medio
100144,I,0.0483,0,Bajo
108407,C,0.1011,0,Bajo
42082,D,0.0846,0,Bajo
106011,B,0.5291,1,Alto
101587,A,0.7307,1,Alto
102068,I,0.0307,0,Bajo
102572,B,0.6036,1,Alto
103641,B,0.3955,0,Medio
107317,B,0.1745,0,Bajo
106189,I,0.0537,0,Bajo
103337,B,0.5273,1,Alto
102869,I,0.0406,0,Bajo
103361,H,0.107,0,Bajo
63264,H,0.1295,0,Bajo
100899,J,0.2398,0,Bajo
105536,D,0.1032,0,Bajo
106946,B,0.1395,0,Bajo
103404,I,0.0467,0,Bajo
28725,A,0.4512,0,Medio
103127,D,0.5713,1,Alto
102330,B,0.3619,0,Medio
103025,D,0.5682,1,Alto
94488,B,0.0376,0,Bajo
105162,B,0.4976,0,Medio
104872,A,0.6559,1,Alto
45508,H,0.2738,0,Bajo
106516,B,0.5923,1,Alto
102520,B,0.3232,0,Medio
103829,B,0.0514,0,Bajo
101719,B,0.2488,0,Bajo
101268,B,0.402,0,Medio
106111,B,0.2101,0,Bajo
105307,I,0.0914,0,Bajo
103220,D,0.043,0,Bajo
103058,A,0.1216,0,Bajo
101361,B,0.1971,0,Bajo
105631,A,0.6438,1,Alto
54678,D,0.1385,0,Bajo
106966,J,0.3682,0,Medio
33575,B,0.6288,1,Alto
105188,B,0.251,0,Bajo
107222,B,0.6108,1,Alto
103757,A,0.106,0,Bajo
100285,I,0.0871,0,Bajo
108384,C,0.2187,0,Bajo
13507,J,0.1744,0,Bajo
101064,D,0.049,0,Bajo
100376,D,0.4234,0,Medio
101304,D,0.4119,0,Medio
104365,B,0.5096,1,Alto
105209,B,0.1211,0,Bajo
104582,A,0.6212,1,Alto
46128,I,0.084,0,Bajo
105991,C,0.56,1,Alto
103935,C,0.5838,1,Alto
58505,D,0.5836,1,Alto
104377,C,0.1686,0,Bajo
75567,B,0.6371,1,Alto
101070,A,0.7129,1,Alto
104615,I,0.0384,0,Bajo
102451,D,0.3942,0,Medio
103484,A,0.5048,1,Alto
107995,B,0.6937,1,Alto
103218,D,0.3143,0,Medio
101237,D,0.4776,0,Medio
107904,I,0.0897,0,Bajo
103726,D,0.3115,0,Medio
108123,D,0.5587,1,Alto
108444,I,0.0543,0,Bajo
100237,B,0.272,0,Bajo
100916,I,0.0581,0,Bajo
107542,A,0.4201,0,Medio
107159,J,0.2763,0,Bajo
102724,H,0.1482,0,Bajo
106235,I,0.0483,0,Bajo
41311,D,0.4669,0,Medio
100039,B,0.32,0,Medio
106637,B,0.0931,0,Bajo
102557,J,0.2514,0,Bajo
102560,A,0.4153,0,Medio
100114,C,0.4338,0,Medio
108121,I,0.0826,0,Bajo
100993,B,0.2184,0,Bajo
100868,I,0.0664,0,Bajo
105335,I,0.0445,0,Bajo
24604,I,0.0915,0,Bajo
106783,I,0.1209,0,Bajo
106466,D,0.2506,0,Bajo
107393,H,0.2822,0,Bajo
102822,H,0.2646,0,Bajo
102383,D,0.0854,0,Bajo
105576,B,0.7144,1,Alto
105472,I,0.0822,0,Bajo
43659,I,0.0797,0,Bajo
103569,B,0.3083,0,Medio
103649,I,0.0165,0,Bajo
103733,I,0.0696,0,Bajo
100940,I,0.0696,0,Bajo
103024,B,0.128,0,Bajo
101811,C,0.5696,1,Alto
105303,C,0.2977,0,Bajo
100581,E,0.0822,0,Bajo
104763,B,0.3729,0,Medio
103921,I,0.0771,0,Bajo
103377,B,0.7358,1,Alto
105648,B,0.2325,0,Bajo
100190,A,0.2919,0,Bajo
102735,I,0.0592,0,Bajo
105728,I,0.045,0,Bajo
103593,C,0.2954,0,Bajo
106865,I,0.0711,0,Bajo
101863,I,0.051,0,Bajo
102273,C,0.2309,0,Bajo
102077,B,0.473,0,Medio
103489,I,0.0413,0,Bajo
106142,D,0.5421,1,Alto
102507,B,0.3067,0,Medio
100131,A,0.5917,1,Alto
104093,I,0.071,0,Bajo
104796,I,0.0859,0,Bajo
101368,D,0.5524,1,Alto
104456,B,0.1858,0,Bajo
100690,B,0.1087,0,Bajo
41468,I,0.0891,0,Bajo
90895,J,0.0326,0,Bajo
103630,I,0.0392,0,Bajo
105264,B,0.4533,0,Medio
106218,B,0.2844,0,Bajo
104462,D,0.1585,0,Bajo
105543,A,0.5716,1,Alto
105874,I,0.0784,0,Bajo
103716,I,0.0348,0,Bajo
53996,D,0.3252,0,Medio
107682,I,0.0685,0,Bajo
103427,B,0.2219,0,Bajo
102341,A,0.2932,0,Bajo
105373,D,0.1319,0,Bajo
102295,I,0.0668,0,Bajo
100062,B,0.0715,0,Bajo
104771,I,0.0656,0,Bajo
100965,I,0.0537,0,Bajo
106777,B,0.1037,0,Bajo
102010,B,0.435,0,Medio
101743,D,0.2189,0,Bajo
106130,B,0.2714,0,Bajo
107406,B,0.3537,0,Medio
108334,B,0.1097,0,Bajo
106110,J,0.2966,0,Bajo
41839,A,0.2817,0,Bajo
106887,B,0.1704,0,Bajo
103952,A,0.4106,0,Medio
105473,D,0.6339,1,Alto
105366,B,0.0527,0,Bajo
107705,A,0.5555,1,Alto
101069,I,0.0498,0,Bajo
51443,B,0.2871,0,Bajo
108470,D,0.5983,1,Alto
66716,I,0.0659,0,Bajo
100176,A,0.4827,0,Medio
105202,I,0.1446,0,Bajo
101276,C,0.136,0,Bajo
106992,B,0.0955,0,Bajo
106337,B,0.0679,0,Bajo
104503,D,0.1841,0,Bajo
104706,B,0.5442,1,Alto
105078,D,0.1724,0,Bajo
107479,A,0.6652,1,Alto
105665,B,0.3187,0,Medio
101243,D,0.0793,0,Bajo
107847,D,0.3776,0,Medio
102427,D,0.5293,1,Alto
20591,B,0.3538,0,Medio
100946,C,0.1136,0,Bajo
2268,A,0.6115,1,Alto
103543,B,0.3303,0,Medio
103930,B,0.4446,0,Medio
104430,B,0.431,0,Medio
105437,D,0.1052,0,Bajo
105653,B,0.6297,1,Alto
101011,D,0.2402,0,Bajo
64157,H,0.1999,0,Bajo
100644,J,0.0641,0,Bajo
98354,I,0.0464,0,Bajo
107460,H,0.2445,0,Bajo
100218,I,0.076,0,Bajo
101775,B,0.3244,0,Medio
103121,J,0.2979,0,Bajo
105549,I,0.0598,0,Bajo
108100,I,0.1772,0,Bajo
104870,D,0.3739,0,Medio
106522,B,0.5522,1,Alto
102907,A,0.6612,1,Alto
100984,J,0.045,0,Bajo
105038,A,0.5077,1,Alto
103923,A,0.6382,1,Alto
107702,I,0.1018,0,Bajo
103233,I,0.0729,0,Bajo
102078,D,0.203,0,Bajo
14269,B,0.6496,1,Alto
106743,D,0.2071,0,Bajo
100207,B,0.4116,0,Medio
107725,I,0.0726,0,Bajo
102323,I,0.0588,0,Bajo
106878,D,0.4169,0,Medio
106902,A,0.6694,1,Alto
106836,I,0.0595,0,Bajo
101922,A,0.6943,1,Alto
106722,B,0.5268,1,Alto
101992,I,0.0635,0,Bajo
104162,I,0.0959,0,Bajo
103510,B,0.3155,0,Medio
105816,I,0.0335,0,Bajo
105575,B,0.1186,0,Bajo
107870,I,0.1802,0,Bajo
108400,I,0.037,0,Bajo
102603,I,0.0901,0,Bajo
105147,J,0.0311,0,Bajo
102862,A,0.5338,1,Alto
106420,C,0.4288,0,Medio
102772,I,0.071,0,Bajo
105129,B,0.1574,0,Bajo
82235,D,0.4201,0,Medio
92124,D,0.1665,0,Bajo
102008,I,0.1005,0,Bajo
107802,A,0.1829,0,Bajo
106599,I,0.0992,0,Bajo
105481,B,0.2226,0,Bajo
103425,B,0.4651,0,Medio
107792,D,0.0984,0,Bajo
100957,A,0.198,0,Bajo
105008,A,0.5749,1,Alto
104313,D,0.2271,0,Bajo
103090,J,0.3611,0,Medio
107292,C,0.2606,0,Bajo
103539,A,0.6347,1,Alto
103527,I,0.0875,0,Bajo
104088,B,0.1179,0,Bajo
102532,C,0.4891,0,Medio
107273,I,0.085,0,Bajo
74825,J,0.059,0,Bajo
100894,I,0.0807,0,Bajo
104785,B,0.2513,0,Bajo
105974,I,0.097,0,Bajo
92757,A,0.6835,1,Alto
105643,J,0.2727,0,Bajo
104169,B,0.0817,0,Bajo
107023,I,0.0384,0,Bajo
102782,B,0.1182,0,Bajo
102901,B,0.2762,0,Bajo
105024,I,0.0348,0,Bajo
107649,J,0.0623,0,Bajo
103580,C,0.43,0,Medio
107894,B,0.1181,0,Bajo
77634,D,0.0754,0,Bajo
103756,I,0.0732,0,Bajo
11936,I,0.1152,0,Bajo
100552,I,0.0578,0,Bajo
107163,D,0.159,0,Bajo
105589,B,0.4795,0,Medio
104830,B,0.0975,0,Bajo
100678,I,0.041,0,Bajo
100265,B,0.2684,0,Bajo
100819,B,0.402,0,Medio
106839,C,0.4317,0,Medio
106125,B,0.377,0,Medio
102338,A,0.5184,1,Alto
102140,C,0.4876,0,Medio
101572,I,0.0996,0,Bajo
106494,B,0.6921,1,Alto
104480,E,0.2752,0,Bajo
2749,I,0.0675,0,Bajo
100575,B,0.6141,1,Alto
102160,B,0.4473,0,Medio
105758,C,0.4292,0,Medio
24620,B,0.442,0,Medio
107599,B,0.3913,0,Medio
104261,B,0.1123,0,Bajo
19201,I,0.1002,0,Bajo
57475,I,0.1542,0,Bajo
107186,D,0.5174,1,Alto
101833,B,0.1773,0,Bajo
37707,B,0.5568,1,Alto
103334,I,0.0693,0,Bajo
106191,D,0.3792,0,Medio
95267,D,0.1411,0,Bajo
104085,C,0.2058,0,Bajo
104612,H,0.1886,0,Bajo
101025,I,0.0343,0,Bajo
6045,I,0.0334,0,Bajo
3281,E,0.3693,0,Medio
105194,I,0.0743,0,Bajo
102812,B,0.2145,0,Bajo
104059,C,0.1411,0,Bajo
103683,D,0.3668,0,Medio
101629,D,0.0871,0,Bajo
103431,B,0.7018,1,Alto
100086,B,0.5396,1,Alto
100342,A,0.503,1,Alto
106078,D,0.232,0,Bajo
107396,C,0.3542,0,Medio
87291,I,0.0962,0,Bajo
104750,A,0.4184,0,Medio
103866,B,0.2044,0,Bajo
21405,B,0.6258,1,Alto
101363,B,0.5184,1,Alto
104697,D,0.0915,0,Bajo
106371,A,0.6228,1,Alto
71512,H,0.2189,0,Bajo
95612,J,0.3782,0,Medio
88590,I,0.0985,0,Bajo
103947,B,0.1167,0,Bajo
106075,I,0.1301,0,Bajo
105622,D,0.4157,0,Medio
104044,A,0.4803,0,Medio
102308,A,0.6834,1,Alto
105741,I,0.0639,0,Bajo
13389,B,0.0845,0,Bajo
89635,J,0.1765,0,Bajo
25033,B,0.4098,0,Medio
107635,B,0.5755,1,Alto
105455,D,0.3328,0,Medio
105280,I,0.0762,0,Bajo
102055,I,0.1134,0,Bajo
100586,B,0.2501,0,Bajo
104953,I,0.1108,0,Bajo
107744,B,0.0658,0,Bajo
103311,E,0.4279,0,Medio
104942,A,0.5239,1,Alto
101952,I,0.0473,0,Bajo
100862,H,0.2172,0,Bajo
104370,B,0.4603,0,Medio
107486,C,0.5645,1,Alto
101387,B,0.22,0,Bajo
106362,J,0.1013,0,Bajo
101968,B,0.3686,0,Medio
108482,I,0.0707,0,Bajo
106181,B,0.0845,0,Bajo
102648,B,0.6597,1,Alto
103705,I,0.0474,0,Bajo
105072,I,0.0491,0,Bajo
102171,B,0.0886,0,Bajo
108436,D,0.5552,1,Alto
103288,E,0.2754,0,Bajo
105831,I,0.0678,0,Bajo
41172,J,0.0337,0,Bajo
103742,I,0.0494,0,Bajo
33756,I,0.0428,0,Bajo
100872,I,0.0315,0,Bajo
104171,I,0.0899,0,Bajo
105969,D,0.382,0,Medio
100900,A,0.3256,0,Medio
107308,B,0.5891,1,Alto
108073,C,0.0773,0,Bajo
102687,D,0.1615,0,Bajo
107155,I,0.1148,0,Bajo
102825,B,0.2669,0,Bajo
53186,D,0.2539,0,Bajo
107943,D,0.1856,0,Bajo
103207,B,0.4965,0,Medio
108204,B,0.4664,0,Medio
105871,D,0.1058,0,Bajo
100725,C,0.3033,0,Medio
102859,A,0.4311,0,Medio
100602,I,0.0284,0,Bajo
105195,B,0.0817,0,Bajo
100054,D,0.0804,0,Bajo
106486,J,0.2393,0,Bajo
101422,B,0.4537,0,Medio
107634,J,0.1786,0,Bajo
104009,A,0.4328,0,Medio
100177,D,0.0477,0,Bajo
102814,C,0.4004,0,Medio
104295,A,0.4247,0,Medio
100395,B,0.473,0,Medio
101909,D,0.0767,0,Bajo
107604,I,0.0822,0,Bajo
103966,D,0.4165,0,Medio
102170,H,0.1491,0,Bajo
103085,D,0.2316,0,Bajo
100262,B,0.083,0,Bajo
104278,D,0.1259,0,Bajo
104150,C,0.4652,0,Medio
108025,I,0.0517,0,Bajo
107501,I,0.0828,0,Bajo
108354,B,0.5704,1,Alto
100281,C,0.5878,1,Alto
105925,C,0.32,0,Medio
103770,I,0.1248,0,Bajo
37564,I,0.031,0,Bajo
103300,I,0.1282,0,Bajo
103446,D,0.386,0,Medio
107974,B,0.1637,0,Bajo
106737,B,0.6189,1,Alto
103112,B,0.2091,0,Bajo
107713,D,0.473,0,Medio
103479,A,0.6776,1,Alto
101066,B,0.2681,0,Bajo
101614,D,0.2055,0,Bajo
102054,I,0.1079,0,Bajo
106216,C,0.2348,0,Bajo
103400,D,0.4078,0,Medio
103808,I,0.082,0,Bajo
107563,B,0.3751,0,Medio
107026,B,0.3689,0,Medio
103385,D,0.3595,0,Medio
105032,D,0.5008,1,Alto
103497,D,0.4726,0,Medio
100544,D,0.1285,0,Bajo
102105,I,0.1042,0,Bajo
